,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
6705,Bentley Systems,4.2,(79 Reviews),Private,"Exton,Pennsylvania + 4 more",18 years old,501-1k Employees (India)
6706,Vinove Software ...,3.7,(117 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",19 years old,201-500 Employees (India)
6707,RED CHIEF,4,(78 Reviews),Private,Gurugram + 24 more,26 years old,
6708,Everest Blowers,4,(78 Reviews),Private,New Delhi + 3 more,43 years old,201-500 Employees (India)
6709,Geltec,3.3,(78 Reviews),Private,Mumbai + 4 more,21 years old,201-500 Employees (India)
6710,UNI Klinger,4,(78 Reviews),Public,Pune + 8 more,40 years old,51-200 Employees (India)
6711,Rajapushpa Prope...,3.6,(78 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",17 years old,201-500 Employees (India)
6712,Siemens Building...,3.9,(78 Reviews),Cleveland + 12 more,,,
6713,ABV Rock Group,4.2,(78 Reviews),Private,Riyadh + 8 more,49 years old,1k-5k Employees (Global)
6714,SPEC INDIA,4.7,(78 Reviews),Private,"Ahmedabad,Gujarat + 1 more",36 years old,201-500 Employees (India)
6715,Bharat BPO Servi...,4.2,(78 Reviews),Private,Noida + 8 more,17 years old,201-500 Employees (India)
6716,Hughes Communica...,3.8,(78 Reviews),Private,"Gurgaon/Gurugram,Haryana + 12 more",30 years old,501-1k Employees (India)
6717,Icomm Tele,3.6,(78 Reviews),Private,Hyderabad + 10 more,34 years old,1k-5k Employees (India)
6718,Graphic Era Univ...,4.1,(78 Reviews),Private,Dehradun + 5 more,30 years old,501-1k Employees (India)
6719,Inube Software S...,3.4,(78 Reviews),Private,Bangalore + 2 more,13 years old,201-500 Employees (India)
6720,20 Microns,3.8,(78 Reviews),Public,Vadodara + 6 more,36 years old,201-500 Employees (India)
6721,Satnam Global In...,3.9,(78 Reviews),New Delhi + 13 more,36 years old,51-200 Employees (India),
6722,Khansaheb Civil ...,4.7,(78 Reviews),Private,Dubai + 6 more,88 years old,1k-5k Employees (India)
6723,Sridevi Tool Eng...,4.2,(78 Reviews),Private,Vasai + 3 more,51 years old,51-200 Employees (India)
6724,Enpro Industries,4.1,(78 Reviews),Pune + 1 more,35 years old,201-500 Employees (India),
6725,Binani Cement,4.1,(78 Reviews),Public,Mumbai + 14 more,27 years old,1k-5k Employees (Global)
6726,Saviance Technol...,4.6,(78 Reviews),Private,"Metuchen,New Jersey + 3 more",24 years old,51-200 Employees (India)
6727,Alghanim Industr...,4,(78 Reviews),Private,Sharq + 5 more,91 years old,501-1k Employees (India)
6728,Sovereign Health,2.6,(78 Reviews),Private,San Clemente + 2 more,14 years old,51-200 Employees (India)
6729,Gulshan Polyols,3.5,(78 Reviews),Public,Muzaffarnagar + 5 more,23 years old,501-1k Employees (India)
6730,ALL TIME PLASTIC...,3.6,(78 Reviews),Private,"Mumbai,Maharashtra + 5 more",59 years old,51-200 Employees (India)
6731,Ayesa,4.1,(78 Reviews),Private,"Sevilla,Andalusia + 5 more",11 years old,201-500 Employees (India)
6732,Devgiri Forgings,4.2,(78 Reviews),Private,Aurangabad + 4 more,38 years old,11-50 Employees (India)
6733,GO MO Group AB,4.2,(78 Reviews),Private,Kista,9 years old,11-50 Employees (India)
6734,TRACKS AND TOWER...,4.3,(78 Reviews),Hyderabad + 16 more,40 years old,501-1k Employees (India),
6735,DCDC Kidney Care,3.4,(78 Reviews),"Delhi,NCT + 20 more",14 years old,201-500 Employees (India),
6736,Orient Fashions,4.4,(78 Reviews),Private,New Delhi + 2 more,50 years old,1k-5k Employees (India)
6737,Meinhardt Group,3.4,(78 Reviews),Private,"Bukit Merah, + 20 more",26 years old,201-500 Employees (India)
6738,Meenakshi Missio...,4.6,(78 Reviews),Private,Madurai + 3 more,33 years old,1k-5k Employees (India)
6739,Girnarsoft Autom...,3.5,(78 Reviews),Gurgaon/Gurugram + 20 more,1k-5k Employees (India),,
6740,Baazar Kolkata,4.1,(78 Reviews),Kolkata + 25 more,201-500 Employees (India),,
6741,Infiiloom,4.2,(78 Reviews),Pune + 9 more,51-200 Employees (India),,
6742,Ummeed Housing F...,4.4,(78 Reviews),Private,"Gurgaon,Haryana + 15 more",7 years old,201-500 Employees (India)
6743,Zones Corporate ...,3.7,(78 Reviews),Auburn + 3 more,15 years old,51-200 Employees (India),
6744,YouTube,4.4,(78 Reviews),Private,"San Bruno,CA + 24 more",18 years old,10k-50k Employees (India)
6745,BSF,4.2,(78 Reviews),Public,New Delhi + 18 more,58 years old,1-10 Employees (India)
6746,Astute Corporate...,3.4,(78 Reviews),Private,"Pune,Maharashtra + 14 more",18 years old,1k-5k Employees (Global)
6747,PSRI Hospital,4,(78 Reviews),Private,"Delhi/NCR,Delhi",27 years old,501-1k Employees (Global)
6748,Som Distilleries...,3.9,(78 Reviews),Private,Bhopal + 14 more,37 years old,501-1k Employees (India)
6749,International C...,3.8,(78 Reviews),Hyderabad/Secunderabad + 5 more,1k-5k Employees (India),,
6750,Falcon Force,4.1,(78 Reviews),Private,Tampa + 2 more,18 years old,51-200 Employees (India)
6751,COSMO Infrasolut...,4.1,(78 Reviews),Jaipur + 10 more,23 years old,501-1k Employees (India),
6752,Brunel,4.5,(78 Reviews),Private,"Amsterdam,North Holland + 7 more",48 years old,51-200 Employees (India)
6753,Arkad Engineerin...,2.9,(78 Reviews),Public,Al Khobar + 4 more,12 years old,5k-10k Employees (Global)
6754,InfoVision Labs,4.2,(78 Reviews),Private,"Pune,Maharashtra + 2 more",9 years old,1k-5k Employees (India)
6755,MSC Technology I...,4,(78 Reviews),Private,"Chennai,Tamil Nadu + 3 more",16 years old,1k-5k Employees (India)
6756,Dr. Willmar Schw...,4.2,(78 Reviews),Private,Karlsruhe + 12 more,157 years old,201-500 Employees (India)
6757,Vandana Global,3.8,(78 Reviews),Private,"Raipur,Chhattisgarh",25 years old,1k-5k Employees (India)
6758,Beckman Coulter,3.7,(78 Reviews),Private,"Brea,California + 9 more",88 years old,201-500 Employees (India)
6759,NCL Alltek & Sec...,3.8,(78 Reviews),Private,Hyderabad + 12 more,34 years old,51-200 Employees (India)
6760,Metro Shoes,4.3,(78 Reviews),Private,Mumbai + 19 more,76 years old,1k-5k Employees (Global)
6761,AARGEE STAFFING ...,3.9,(78 Reviews),Private,Chennai + 11 more,21 years old,1k-5k Employees (Global)
6762,Pai Internationa...,4.2,(78 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",23 years old,501-1k Employees (India)
6763,Palsons Derma,3.7,(78 Reviews),Kolkata + 13 more,39 years old,51-200 Employees (India),
6764,Intellect Bizwar...,4.4,(78 Reviews),Private,"Navi Mumbai,Maharashtra + 3 more",16 years old,51-200 Employees (India)
6765,Energo Engineeri...,3.9,(78 Reviews),Private,Gurugram + 14 more,36 years old,5k-10k Employees (Global)
6766,Milltec Machiner...,4,(78 Reviews),Private,Bangalore + 10 more,35 years old,501-1k Employees (India)
6767,Thinksynq Soluti...,3.5,(78 Reviews),Private,"Chennai,Tamil Nadu + 4 more",16 years old,11-50 Employees (India)
6768,Gsp Power Projec...,4,(78 Reviews),Private,New Delhi + 27 more,28 years old,51-200 Employees (India)
6769,Qd-sbg Construct...,4.6,(78 Reviews),Sole proprietorship,Doha + 2 more,13 years old,51-200 Employees (India)
6770,Pioneer Wincon,4.5,(78 Reviews),Private,"Chennai,Tamil Nadu + 12 more",27 years old,51-200 Employees (India)
6771,Institute of Com...,4.3,(78 Reviews),Private,Kolkata + 29 more,24 years old,1-10 Employees (India)
6772,Bss Microfinance,4.1,(78 Reviews),Bengaluru + 30 more,24 years old,51-200 Employees (India),
6773,Rustomjee Group,4.2,(78 Reviews),Private,"Mumbai,Maharashtra + 4 more",27 years old,501-1k Employees (India)
6774,Brihanmumbai Ele...,4.3,(78 Reviews),Private,Mumbai,150 years old,51-200 Employees (India)
6775,Eskag Pharma,3.2,(78 Reviews),Kolkata + 9 more,46 years old,201-500 Employees (India),
6776,Hbk Contracting ...,4.4,(78 Reviews),Private,Doha + 3 more,53 years old,10k-50k Employees (India)
6777,Augustus Healthc...,3.9,(78 Reviews),LLP,Harwood Heights,24 years old,501-1k Employees (Global)
6778,Bgs Global Hospi...,3.6,(78 Reviews),Private,Bengaluru,24 years old,201-500 Employees (India)
6779,Calpion Software...,4,(78 Reviews),Private,"Dallas,Texas + 2 more",19 years old,201-500 Employees (India)
6780,Dar Al Riyadh Co...,4.3,(78 Reviews),Private,Riyadh + 6 more,48 years old,51-200 Employees (India)
6781,GENWORKS Health,3.6,(78 Reviews),Private,Bengaluru + 16 more,8 years old,201-500 Employees (India)
6782,Baggit,3.7,(78 Reviews),Private,"Mumbai,Maharashtra + 16 more",34 years old,201-500 Employees (India)
6783,Omega Elevators,3.7,(78 Reviews),Private,"Ahmedabad,Gujarat + 18 more",38 years old,1k-5k Employees (India)
6784,Tatsuno India,3.8,(78 Reviews),Private,Mumbai + 10 more,17 years old,51-200 Employees (India)
6785,Uniproducts,3.9,(78 Reviews),Public,"Noida,Uttar Pradesh + 6 more",41 years old,51-200 Employees (India)
6786,TetraSoft,3.6,(78 Reviews),Private,Chesterfield,26 years old,501-1k Employees (India)
6787,Kingdom of Dream...,2.6,(78 Reviews),Private,Gurgaon + 1 more,13 years old,501-1k Employees (Global)
6788,LeadSquared,3.5,(78 Reviews),Private,"Bangalore,Karnataka + 7 more",12 years old,1k-5k Employees (India)
6789,Clarion Technolo...,3.6,(78 Reviews),Private,"Pune,Maharashtra + 3 more",23 years old,201-500 Employees (India)
6790,Emeritus Institu...,4.2,(78 Reviews),Private,"Singapore,Singapore + 2 more",8 years old,1k-5k Employees (India)
6791,ThinkPalm Techno...,4.2,(78 Reviews),Private,"Kochi/Cochin,Kerala + 2 more",13 years old,201-500 Employees (India)
6792,Venus Home Appli...,4.1,(78 Reviews),Private,Thoothukudi + 16 more,59 years old,501-1k Employees (India)
6793,POSCO,4.1,(259 Reviews),Private,Pohang-si + 14 more,55 years old,51-200 Employees (India)
6794,Jayanita Exports,2.9,(86 Reviews),Private,Greater Noida + 3 more,45 years old,201-500 Employees (India)
6795,Veolia,4.1,(80 Reviews),Private,"Noida,Uttar Pradesh + 20 more",23 years old,51-200 Employees (India)
6796,IIT Kharagpur,4.3,(77 Reviews),Private,Kharagpur + 6 more,72 years old,1k-5k Employees (Global)
6797,Global Upside,3.8,(77 Reviews),Private,San Jose + 2 more,24 years old,201-500 Employees (India)
6798,The New Indian E...,3.7,(77 Reviews),Private,Chennai + 17 more,91 years old,51-200 Employees (India)
6799,Rio Tinto,3.8,(77 Reviews),Private,London + 4 more,150 years old,201-500 Employees (India)
6800,Snowcem Paints,4.6,(77 Reviews),Private,Mumbai + 21 more,64 years old,201-500 Employees (India)
6801,Express KCS,4.1,(77 Reviews),Private,Milford + 3 more,19 years old,501-1k Employees (India)
6802,Firepro Systems,3.9,(77 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",31 years old,1k-5k Employees (India)
6803,GlobeGround Indi...,4.1,(77 Reviews),Private,Bangalore + 7 more,24 years old,51-200 Employees (India)
6804,Kemwell Biopharm...,4.2,(77 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",43 years old,1k-5k Employees (India)
6805,Velammal Educati...,3.4,(77 Reviews),Chennai + 6 more,37 years old,10k-50k Employees (India),
6806,Khivraj Motors,4,(77 Reviews),Private,"Chennai,Tamil Nadu + 5 more",62 years old,201-500 Employees (Global)
6807,Hubtown,3.3,(77 Reviews),Public,"Mumbai,Maharashtra + 7 more",34 years old,1k-5k Employees (India)
6808,Eye Q Vision,3.7,(77 Reviews),Private,"Gurgaon,Haryana + 14 more",17 years old,501-1k Employees (India)
6809,SmartStream Tech...,3.6,(77 Reviews),Private,London + 4 more,23 years old,501-1k Employees (India)
6810,KSK Mahanadi Pow...,4.1,(77 Reviews),Public,"Champa,Chhattisgarh + 3 more",22 years old,1k-5k Employees (India)
6811,Collman Services,3.8,(77 Reviews),Chennai + 11 more,201-500 Employees (India),,
6812,Ok Play,3.8,(77 Reviews),Public,"Delhi/NCR,Delhi + 13 more",30 years old,51-200 Employees (India)
6813,Sahyadri Farmers...,3.8,(77 Reviews),Private,Nashik + 4 more,13 years old,501-1k Employees (India)
6814,CI Infotech,4,(77 Reviews),Private,New Delhi + 7 more,27 years old,51-200 Employees (India)
6815,FNF India,4.1,(77 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",16 years old,1k-5k Employees (India)
6816,VRC Construction...,4.1,(77 Reviews),Private,New Delhi + 15 more,27 years old,501-1k Employees (India)
6817,Oliva Skin and H...,4.4,(77 Reviews),Private,"Hyderabad,Telangana + 7 more",14 years old,201-500 Employees (India)
6818,Trane Technologi...,4.4,(77 Reviews),"Davidson,North Carolina + 7 more",152 years old,1k-5k Employees (India),
6819,Unschool Learnin...,3.4,(77 Reviews),Private,"Hyderabad,Telangana + 5 more",4 years old,1k-5k Employees (India)
6820,Laminaar Aviatio...,3.9,(77 Reviews),Private,Singapore + 3 more,30 years old,201-500 Employees (India)
6821,SLAP,4,(77 Reviews),Anantapur + 7 more,11-50 Employees (Global),,
6822,Qwik Supply Chai...,4,(77 Reviews),Jaipur + 42 more,1k-5k Employees (India),,
6823,Risebird Talent ...,4.2,(77 Reviews),Bengaluru/Bangalore + 3 more,51-200 Employees (India),,
6824,Hitachi Astemo R...,4.2,(77 Reviews),Neemrana + 5 more,201-500 Employees (India),,
6825,Vertex Global Se...,4.3,(77 Reviews),"Gurugram,Haryana",51-200 Employees (India),,
6826,Azentio,3.3,(77 Reviews),Singapore + 10 more,501-1k Employees (India),,
6827,Casepoint,4,(77 Reviews),Private,"Tysons,,Virginia",15 years old,501-1k Employees (India)
6828,Agon IT Solution...,4.4,(77 Reviews),51-200 Employees (India),,,
6829,Birla Century,3.6,(77 Reviews),Private,Mumbai + 7 more,126 years old,1k-5k Employees (India)
6830,Indu Projects,4.1,(77 Reviews),Private,Hyderabad + 11 more,22 years old,1k-5k Employees (India)
6831,Jumbo Electronic...,3.5,(77 Reviews),Private,"Dubai,Dubai + 13 more",49 years old,51-200 Employees (India)
6832,SNS College of E...,4.8,(77 Reviews),Private,Coimbatore,201-500 Employees (India),
6833,Autohangar,4.1,(77 Reviews),Private,Mumbai + 2 more,32 years old,501-1k Employees (India)
6834,Glen Appliances,4,(77 Reviews),Private,"Faridabad,Haryana + 16 more",24 years old,11-50 Employees (India)
6835,Allied Nippon,3.7,(77 Reviews),Luton + 8 more,41 years old,1k-5k Employees (India),
6836,Corpone Staffing...,3.7,(77 Reviews),Private,Secunderabad + 5 more,18 years old,501-1k Employees (India)
6837,P C CHANDRA JEWE...,4,(77 Reviews),Private,Kolkata + 16 more,84 years old,51-200 Employees (India)
6838,Pratham Motors,3.9,(77 Reviews),Bangalore + 2 more,21 years old,201-500 Employees (India),
6839,Flex Industries,3.5,(77 Reviews),Private,Noida + 8 more,38 years old,1-10 Employees (India)
6840,Eldeco Infrastru...,4.4,(77 Reviews),Private,"Delhi/NCR,New Delhi + 7 more",48 years old,201-500 Employees (Global)
6841,Shree Technocrat...,3.3,(77 Reviews),New Delhi + 12 more,17 years old,,
6842,Snowcem Paints,4.6,(77 Reviews),Private,Mumbai + 21 more,64 years old,201-500 Employees (India)
6843,P C CHANDRA JEWE...,4,(77 Reviews),Private,Kolkata + 16 more,84 years old,51-200 Employees (India)
6844,Shivashakti Bio ...,3.8,(77 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 17 more",27 years old,1k-5k Employees (India)
6845,Atotech,3.9,(77 Reviews),Private,Berlin + 6 more,30 years old,201-500 Employees (India)
6846,German Remedies,4.5,(77 Reviews),Private,Mumbai + 18 more,74 years old,501-1k Employees (Global)
6847,Patel Motors,4.1,(77 Reviews),Private,Indore + 2 more,30 years old,11-50 Employees (India)
6848,HM Group,4.5,(77 Reviews),Private,Bengaluru + 3 more,32 years old,51-200 Employees (India)
6849,KSK Mahanadi Pow...,4.1,(77 Reviews),Public,"Champa,Chhattisgarh + 3 more",22 years old,1k-5k Employees (India)
6850,Antraweb Technol...,4.3,(77 Reviews),Private,Mumbai + 2 more,31 years old,201-500 Employees (India)
6851,Volvo Buses,4.5,(77 Reviews),Private,Gothenburg + 9 more,96 years old,201-500 Employees (India)
6852,Nitor Infotech,4,(77 Reviews),Private,United States,17 years old,501-1k Employees (India)
6853,NIC,4,(77 Reviews),Private,New Delhi + 24 more,47 years old,5k-10k Employees (India)
6854,GlobeGround Indi...,4.1,(77 Reviews),Private,Bangalore + 7 more,24 years old,51-200 Employees (India)
6855,Jumbo Electronic...,3.5,(77 Reviews),Private,"Dubai,Dubai + 13 more",49 years old,51-200 Employees (India)
6856,Global Upside,3.8,(77 Reviews),Private,San Jose + 2 more,24 years old,201-500 Employees (India)
6857,Hind Rectifiers,3.5,(77 Reviews),Public,"Mumbai,Maharashtra + 5 more",65 years old,201-500 Employees (India)
6858,Central Coalfiel...,4.2,(77 Reviews),Government,Ranchi + 3 more,48 years old,10k-50k Employees (Global)
6859,Aqualite India,4.1,(77 Reviews),"Delhi/NCR,New Delhi + 5 more",15 years old,1k-5k Employees (India),
6860,Artson Engineeri...,4.1,(77 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 11 more",45 years old,201-500 Employees (India)
6861,Ramdev Food Prod...,4.4,(77 Reviews),Ahmedabad + 13 more,58 years old,501-1k Employees (India),
6862,Eastern Coalfiel...,3.8,(77 Reviews),West Bengal + 7 more,48 years old,50k-1 Lakh Employees (Global),
6863,Itc Grand Chola ...,4.7,(77 Reviews),Chennai + 2 more,11 years old,1k-5k Employees (India),
6864,Best Koki Automo...,4,(77 Reviews),Private,Gurgaon + 7 more,15 years old,201-500 Employees (India)
6865,Decision Minds,4.6,(77 Reviews),Private,"Milpitas,California + 3 more",51-200 Employees (India),
6866,Kriya It,3.5,(77 Reviews),Private,"Chennai,Tamil Nadu + 4 more",13 years old,1k-5k Employees (India)
6867,Ggs Engineering ...,3.5,(77 Reviews),Secunderabad + 3 more,10 years old,501-1k Employees (India),
6868,Aleor Dermaceuti...,3.8,(77 Reviews),Public,Vadodara + 2 more,7 years old,51-200 Employees (India)
6869,Vigour Mobile,4,(77 Reviews),Private,Gurgaon + 15 more,9 years old,1k-5k Employees (India)
6870,Sahyadri Farmers...,3.8,(77 Reviews),Private,Nashik + 4 more,13 years old,501-1k Employees (India)
6871,CI Infotech,4,(77 Reviews),Private,New Delhi + 7 more,27 years old,51-200 Employees (India)
6872,Dish Infra Servi...,4,(77 Reviews),Private,Delhi + 34 more,501-1k Employees (India),
6873,Ok Play,3.8,(77 Reviews),Public,"Delhi/NCR,Delhi + 13 more",30 years old,51-200 Employees (India)
6874,Collman Services,3.8,(77 Reviews),Chennai + 11 more,201-500 Employees (India),,
6875,Casepoint,4,(77 Reviews),Private,"Tysons,,Virginia",15 years old,501-1k Employees (India)
6876,VRC Construction...,4.1,(77 Reviews),Private,New Delhi + 15 more,27 years old,501-1k Employees (India)
6877,Jawed Habib Hair...,4,(77 Reviews),Public,"Mumbai,Maharashtra + 22 more",17 years old,1k-5k Employees (India)
6878,3 Gen Consulting,3,(77 Reviews),Private,Pune,17 years old,51-200 Employees (India)
6879,Oliva Skin and H...,4.4,(77 Reviews),Private,"Hyderabad,Telangana + 7 more",14 years old,201-500 Employees (India)
6880,Risebird Talent ...,4.2,(77 Reviews),Bengaluru/Bangalore + 3 more,51-200 Employees (India),,
6881,Laminaar Aviatio...,3.9,(77 Reviews),Private,Singapore + 3 more,30 years old,201-500 Employees (India)
6882,Trane Technologi...,4.4,(77 Reviews),"Davidson,North Carolina + 7 more",152 years old,1k-5k Employees (India),
6883,Unschool Learnin...,3.4,(77 Reviews),Private,"Hyderabad,Telangana + 5 more",4 years old,1k-5k Employees (India)
6884,SLAP,4,(77 Reviews),Anantapur + 7 more,11-50 Employees (Global),,
6885,Qwik Supply Chai...,4,(77 Reviews),Jaipur + 42 more,1k-5k Employees (India),,
6886,Unison Pharmaceu...,4.2,(77 Reviews),Ahmedabad + 3 more,42 years old,501-1k Employees (India),
6887,Sugal & Damani,4.1,(136 Reviews),Private,Gurugram + 9 more,34 years old,51-200 Employees (India)
6888,Finecure Pharmac...,3.7,(76 Reviews),Public,"Ahmedabad,Gujarat + 4 more",18 years old,201-500 Employees (India)
6889,Convergent Commu...,4,(76 Reviews),Private,Bengaluru + 17 more,22 years old,51-200 Employees (India)
6890,JK Files,3.8,(76 Reviews),Private,Thane + 14 more,74 years old,51-200 Employees (India)
6891,Spear Logistics,3.7,(76 Reviews),Private,"Pune,Maharashtra + 13 more",22 years old,1k-5k Employees (Global)
6892,Little Flower Sc...,3.8,(76 Reviews),Private,Maryland + 26 more,11-50 Employees (India),
6893,Sundyota Numandi...,3.9,(76 Reviews),Private,"Ahmedabad,Gujarat + 17 more",20 years old,51-200 Employees (India)
6894,Stratosphere IT ...,4.1,(76 Reviews),Private,"Noida,Uttar Pradesh + 9 more",11 years old,51-200 Employees (India)
6895,Progility Techno...,3.4,(76 Reviews),Mumbai + 15 more,11 years old,51-200 Employees (India),
6896,SS Construction,4.1,(76 Reviews),Private,Chandigarh + 20 more,45 years old,51-200 Employees (India)
6897,Ortel Communicat...,3.3,(76 Reviews),Public,"Bhubaneswar,Odisha + 14 more",28 years old,51-200 Employees (India)
6898,ECI Telecom,4.4,(76 Reviews),Private,"Petah Tikva,Petah Tikva + 13 more",62 years old,51-200 Employees (India)
6899,Mahanagar Teleph...,4,(76 Reviews),Public,New Delhi + 6 more,37 years old,10k-50k Employees (India)
6900,YuppTV,4.2,(76 Reviews),Private,"Atlanta,Georgia + 1 more",17 years old,201-500 Employees (India)
6901,GTN Engineering,4,(76 Reviews),Public,Tirupur + 9 more,33 years old,201-500 Employees (India)
6902,Sri Ramachandra ...,4.4,(76 Reviews),Private,"Chennai,Tamil Nadu + 4 more",33 years old,201-500 Employees (India)
6903,GP Strategies,3.8,(76 Reviews),Private,"Columbia,Maryland + 2 more",57 years old,201-500 Employees (India)
6904,AGROCEL INDUSTRI...,4.3,(76 Reviews),Mumbai + 6 more,38 years old,51-200 Employees (India),
6905,Century Rayon,4.2,(76 Reviews),Private,"Mumbai,Maharashtra + 5 more",71 years old,201-500 Employees (India)
6906,SMARTe,3.5,(76 Reviews),Private,"Delhi,NCT + 7 more",9 years old,201-500 Employees (India)
6907,Cartrade.com,3.9,(76 Reviews),Private,"Mumbai,Maharashtra + 13 more",14 years old,1k-5k Employees (India)
6908,Swan Enterprises,2.9,(76 Reviews),Private,"Ludhiana,Punjab + 7 more",38 years old,1k-5k Employees (India)
6909,Kyb Motorcycle S...,3.7,(76 Reviews),Private,Tokyo + 6 more,104 years old,51-200 Employees (India)
6910,Saraswati Vidya ...,4.1,(76 Reviews),Public,"Mumbai,Maharashtra + 31 more",47 years old,51-200 Employees (India)
6911,Optiemus Electro...,3.8,(76 Reviews),Noida + 3 more,7 years old,1k-5k Employees (India),
6912,Uttam Toyota,4.3,(76 Reviews),Private,"Ghaziabad,Uttar Pradesh + 3 more",23 years old,501-1k Employees (India)
6913,Go Colors,4.4,(76 Reviews),"Chennai,Tamil Nadu + 19 more",13 years old,51-200 Employees (India),
6914,Swami Rama Himal...,4,(76 Reviews),Private,"Dehradun,Uttarakhand + 4 more",11 years old,1k-5k Employees (India)
6915,Harsha Toyota,4,(76 Reviews),Public,Hyderabad + 6 more,86 years old,201-500 Employees (Global)
6916,Acebright Pharma,3.2,(76 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",29 years old,51-200 Employees (India)
6917,Liebherr Applian...,4.4,(76 Reviews),Private,Aurangabad + 11 more,74 years old,51-200 Employees (India)
6918,Coldex Logistics,3.4,(76 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",18 years old,51-200 Employees (India)
6919,Apollo Telehealt...,4.3,(76 Reviews),Hyderabad/Secunderabad + 17 more,13 years old,51-200 Employees (India),
6920,Rcon Pune,3.4,(76 Reviews),Hyderabad + 17 more,21 years old,201-500 Employees (Global),
6921,Nath Bio - Genes,4.1,(76 Reviews),Public,Aurangabad + 12 more,44 years old,501-1k Employees (India)
6922,PSG Hospitals,4,(76 Reviews),Tamil Nadu + 2 more,97 years old,11-50 Employees (India),
6923,Cinda Engineerin...,4,(76 Reviews),Private,"Noida,Uttar Pradesh + 10 more",15 years old,51-200 Employees (India)
6924,Neverskip,4.3,(76 Reviews),Private,Chennai + 15 more,15 years old,51-200 Employees (India)
6925,Kalindee Rail Ni...,4.2,(76 Reviews),Public,"Delhi/NCR,Delhi + 11 more",39 years old,1k-5k Employees (India)
6926,Data Marshall,4.1,(76 Reviews),Private,"Hyderabad/Secunderabad,Telangana",21 years old,51-200 Employees (India)
6927,HIDADA,3.7,(76 Reviews),Jeddah + 6 more,41 years old,11-50 Employees (India),
6928,Gemini Consultin...,4,(76 Reviews),Private,"St Louis,Missouri + 5 more",13 years old,201-500 Employees (India)
6929,Nath Bio - Genes,4.1,(76 Reviews),Public,Aurangabad + 12 more,44 years old,501-1k Employees (India)
6930,PSG Hospitals,4,(76 Reviews),Tamil Nadu + 2 more,97 years old,11-50 Employees (India),
6931,PeopleScout,3.5,(76 Reviews),"Chicago,Illinois + 1 more",31 years old,51-200 Employees (India),
6932,Reliance Footpri...,4.4,(76 Reviews),Mumbai + 36 more,16 years old,1-10 Employees (India),
6933,Rcon Pune,3.4,(76 Reviews),Hyderabad + 17 more,21 years old,201-500 Employees (Global),
6934,Data Marshall,4.1,(76 Reviews),Private,"Hyderabad/Secunderabad,Telangana",21 years old,51-200 Employees (India)
6935,Autocal Solution...,3.3,(76 Reviews),Private,Palghar + 12 more,21 years old,51-200 Employees (India)
6936,Fastway Transmis...,3.7,(76 Reviews),Ludhiana + 17 more,15 years old,201-500 Employees (India),
6937,Swami Rama Himal...,4,(76 Reviews),Private,"Dehradun,Uttarakhand + 4 more",11 years old,1k-5k Employees (India)
6938,Liebherr Applian...,4.4,(76 Reviews),Private,Aurangabad + 11 more,74 years old,51-200 Employees (India)
6939,Motherson Molds ...,3.6,(76 Reviews),Private,Gurgaon + 5 more,17 years old,51-200 Employees (India)
6940,SoCoMo Technolog...,3.8,(76 Reviews),Private,"Chandigarh,Union Territory Of Chandigarh + 17 more",9 years old,51-200 Employees (India)
6941,Tresor Systems,4.2,(76 Reviews),Private,New Delhi + 12 more,14 years old,51-200 Employees (India)
6942,Harsha Toyota,4,(76 Reviews),Public,Hyderabad + 6 more,86 years old,201-500 Employees (Global)
6943,Apollo Telehealt...,4.3,(76 Reviews),Hyderabad/Secunderabad + 17 more,13 years old,51-200 Employees (India),
6944,Chinmaya Vidyala...,4.1,(76 Reviews),NGO/NPO,"New Delhi,Delhi + 18 more",70 years old,51-200 Employees (India)
6945,Coldex Logistics,3.4,(76 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",18 years old,51-200 Employees (India)
6946,Acebright Pharma,3.2,(76 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",29 years old,51-200 Employees (India)
6947,Kothari Agritech,4,(76 Reviews),Private,Pune + 18 more,26 years old,201-500 Employees (India)
6948,Mantra Propertie...,3.8,(76 Reviews),Private,"Pune,Maharashtra",21 years old,51-200 Employees (India)
6949,BorgWarner Morse...,3.8,(76 Reviews),Auburn + 3 more,95 years old,201-500 Employees (India),
6950,Government Polyt...,4.4,(76 Reviews),Private,Udhagamandalam + 37 more,41 years old,51-200 Employees (India)
6951,AGROCEL INDUSTRI...,4.3,(76 Reviews),Mumbai + 6 more,38 years old,51-200 Employees (India),
6952,Gemini Consultin...,4,(76 Reviews),Private,"St Louis,Missouri + 5 more",13 years old,201-500 Employees (India)
